id;codigo;nome;endereco;cidade;uf;bairro;rede;vendedor;loja;reigao;latitude;longitude;created_at
;4607;Mabeni Aracaju ;;Aracaju;SE;;Outros;Vinicius;1;;;;
;2776;Megga Atacadista ;;Aracaju;SE;;Outros;Vinicius;1;;;;
;4007;Megga Distribuidora ;;Aracaju;SE;;Outros;Vinicius;1;;;;
;4575;Mel Distribuidora ;;Aracaju;SE;;Outros;Vinicius;1;;;;
;4680;Mix Distribuidora Sr Bonfim;;Senhor Do Bonfim;BA;;Outros;Antonio;1;;;;
;2399;Paris Delicatessen ;;Salvador;BA;;Outros;Ricardo Santos;1;;;;
;2780;Sua Quitanda Hortifruti ;;Aracaju;SE;;Outros;Vinicius;1;;;;
;5095;Supermercado Jhones Itaberaba;;Itaberaba;BA;;Outros;Ricardo Santos;1;;;;
;6020;Supermercado Jl Itaberaba;;Itaberaba;BA;;Outros;Ricardo Santos;1;;;;
;1497;Perboni Juazeiro;;Juazeiro;BA;;Perboni;Antonio;3;;;;
;69;Perini Graca ;;Salvador;BA;;Perini;Vinicius;4;;;;
;69;Perini Pituba ;;Salvador;BA;;Perini;Vinicius;5;;;;
;69;Perini Vasco Da Gama ;;Salvador;BA;;Perini;Vinicius;3;;;;
;2860;Pga Juazeiro;;Juazeiro;BA;;Pga;Antonio;1;;;;
;2860;Pga Petrolina;;Petrolina;PE;;Pga;Antonio;2;;;;
;2997;Nunes Peixoto Itabaiana ;;Itabaiana;SE;;Rede Peixoto;Vinicius;1;;;;
;2997;Nunes Peixoto Novo Horizonte Gloria;;Nossa Senhora Da Gloria;SE;;Rede Peixoto;Vinicius;2;;;;
;208;Coageli Lj Lauro ;;Lauro De Freitas;BA;;Redemix;Vinicius;2;;;;
;208;Cogeali Lj Paripe ;;Salvador;BA;;Redemix;Vinicius;1;;;;
;209;Masani Pituba ;;Salvador;BA;;Redemix;Vinicius;1;;;;
;1763;Ponto Verde Iapi ;;Salvador;BA;;Redemix;Vinicius;2;;;;
;1763;Ponto Verde Sete Portas ;;Salvador;BA;;Redemix;Vinicius;1;;;;
;1763;Ponto Verde Vila Laura ;;Salvador;BA;;Redemix;Vinicius;3;;;;
;186;Redemix Chame Chame ;;Salvador;BA;;Redemix;Vinicius;12;;;;
;186;Redemix Rio Vermelho ;;Salvador;BA;;Redemix;Vinicius;13;;;;
;186;Redemix Salvador Shopping ;;Salvador;BA;;Redemix;Vinicius;14;;;;
;186;Rmix Alphaville;;Salvador;BA;;Redemix;Vinicius;4;;;;
;186;Rmix Buraquinho ;;Lauro De Freitas;BA;;Redemix;Vinicius;7;;;;
;186;Rmix Horto ;;Salvador;BA;;Redemix;Vinicius;8;;;;
;186;Rmix Imbui ;;Salvador;BA;;Redemix;Vinicius;2;;;;
;186;Rmix Itapua ;;Salvador;BA;;Redemix;Vinicius;5;;;;
;186;Rmix Ondina ;;Salvador;BA;;Redemix;Vinicius;9;;;;
;186;Rmix Pituba Amazonas ;;Salvador;BA;;Redemix;Vinicius;6;;;;
;186;Rmix Pitubinha ;;Salvador;BA;;Redemix;Vinicius;1;;;;
;186;Rmix Simoes Filho ;;Simoes Filho;BA;;Redemix;Vinicius;3;;;;
;186;Rmix Vitoria ;;Salvador;BA;;Redemix;Vinicius;10;;;;
